阿罗汉,a'luo'han
佛国无数,fo'guo'wu'shu
佛即知之,fo'ji'zhi'zhi
佛皆慈哀,fo'jie'ci'ai
佛世尊,fo'shi'zun
佛说,fo'shuo
佛说此人真善友,fo'shuo'ci'ren'zhen'shan'you
佛所行处,fo'suo'xing'chu
佛土功德庄严,fo'tu'gong'de'zhuang'yan
佛为法王,fo'wei'fa'wang
佛言,fo'yan
佛眼具足,fo'yan'ju'zu
佛言善哉,fo'yan'shan'zai
佛语阿难,fo'yu'a'nan
佛语梵雷震,fo'yu'fan'lei'zhen
佛语教戒,fo'yu'jiao'jie
佛在王舍城耆阇崛山中,fo'zai'wang'she'cheng'qi'she'jue'shan'zhong
佛智,fo'zhi
佛中之王,fo'zhong'zhi'wang
复吹七宝林树,fu'chui'qi'bao'lin'shu
复次阿难,fu'ci'a'nan
复次极乐世界,fu'ci'ji'le'shi'jie
复当专念极乐国土,fu'dang'zhuan'nian'ji'le'guo'tu
福德尽灭,fu'de'jin'mie
福德无量,fu'de'wu'liang
福德营护,fu'de'ying'hu
福德自然,fu'de'zi'ran
负恩违义,fu'en'wei'yi
夫妇,fu'fu
富贵荣华,fu'gui'rong'hua
福慧始闻第四十七,fu'hui'shi'wen'di'si'shi'qi
父母教诲,fu'mu'jiao'hui
复生疑惑,fu'sheng'yi'huo
服饰,fu'shi
复往十方无边净刹,fu'wang'shi'fang'wu'bian'jing'sha
复为大施主,fu'wei'da'shi'zhu
复为众恶,fu'wei'zhong'e
复闻无量寿声,fu'wen'wu'liang'shou'sheng
复无大小江海,fu'wu'da'xiao'jiang'hai
复无住著家室,fu'wu'zhu'zhu'jia'shi
复相值也,fu'xiang'zhi'ye
复以善根回向,fu'yi'shan'gen'hui'xiang
复诣世自在王如来所,fu'yi'shi'zi'zai'wang'ru'lai'suo
覆荫大故,fu'yin'da'gu
复有白珠摩尼以为交络,fu'you'bai'zhu'mo'ni'yi'wei'jiao'luo
复有红绿青白诸摩尼宝,fu'you'hong'lv'qing'bai'zhu'mo'ni'bao
复由见彼树故,fu'you'jian'bi'shu'gu
复有七宝,fu'you'qi'bao
富有悭惜,fu'you'qian'xi
复有十方佛刹,fu'you'shi'fang'fo'sha
复有无量妙宝百千摩尼,fu'you'wu'liang'miao'bao'bai'qian'mo'ni
复有众宝妙衣,fu'you'zhong'bao'miao'yi
复有众鸟住虚空界,fu'you'zhong'niao'zhu'xu'kong'jie
复有众生,fu'you'zhong'sheng
复有诸天于虚空中,fu'you'zhu'tian'yu'xu'kong'zhong
咐嘱汝等,fu'zhu'ru'deng
父子,fu'zi
改往修来,gai'wang'xiu'lai
改形易道,gai'xing'yi'dao
盖之小者,gai'zhi'xiao'zhe
感得广大清净居,gan'de'guang'da'qing'jing'ju
甘露灌顶受位声,gan'lu'guan'ding'shou'wei'sheng
敢有犯此,gan'you'fan'ci
告阿难言,gao'a'nan'yan
高才勇哲,gao'cai'yong'zhe
高出一切诸世界上,gao'chu'yi'qie'zhu'shi'jie'shang
高或百千由旬,gao'huo'bai'qian'you'xun
高四百万里,gao'si'bai'wan'li
告诸比丘,gao'zhu'bi'qiu
各持花香,ge'chi'hua'xiang
各持一金华盖,ge'chi'yi'jin'hua'gai
各出广长舌相,ge'chu'guang'chang'she'xiang
各得其所,ge'de'qi'suo
各发菩提心,ge'fa'pu'ti'xin
各各安立无量众生,ge'ge'an'li'wu'liang'zhong'sheng
各怀杀毒,ge'huai'sha'du
歌叹佛德第二十七,ge'tan'fo'de'di'er'shi'qi
歌叹最胜尊,ge'tan'zui'sheng'zun
各以,ge'yi
各有八万俱胝那由他人,ge'you'ba'wan'ju'zhi'na'you'ta'ren
各欲快意,ge'yu'kuai'yi
各于异方次第成佛,ge'yu'yi'fang'ci'di'cheng'fo
各欲自快,ge'yu'zi'kuai
各自得之,ge'zi'de'zhi
各自端守,ge'zi'duan'shou
各自念道,ge'zi'nian'dao
各自异行,ge'zi'yi'xing
根茎枝干,gen'jing'zhi'gan
更相报偿,geng'xiang'bao'chang
更相患害,geng'xiang'huan'hai
更相哭泣,geng'xiang'ku'qi
更相欺诳,geng'xiang'qi'kuang
更相杀伤,geng'xiang'sha'shang
更相瞻视,geng'xiang'zhan'shi
更雨新华,geng'yu'xin'hua
功德百千万倍,gong'de'bai'qian'wan'bei
功德辩才,gong'de'bian'cai
功德普庄严,gong'de'pu'zhuang'yan
功德善力,gong'de'shan'li
功德殊胜,gong'de'shu'sheng
功德严净,gong'de'yan'jing
功德智慧,gong'de'zhi'hui
功德智慧次如上辈者也,gong'de'zhi'hui'ci'ru'shang'bei'zhe'ye
功德智慧次如中辈者也,gong'de'zhi'hui'ci'ru'zhong'bei'zhe'ye
功德庄严之事,gong'de'zhuang'yan'zhi'shi
宫殿,gong'dian
宫殿楼观,gong'dian'lou'guan
宫殿随身,gong'dian'sui'shen
攻劫杀戮,gong'jie'sha'lu
恭敬顶礼,gong'jing'ding'li
恭敬供养,gong'jing'gong'yang
恭敬欢喜去,gong'jing'huan'xi'qu
恭敬三宝,gong'jing'san'bao
恭敬围绕,gong'jing'wei'rao
共其怨家,gong'qi'yuan'jia
恭慎保持,gong'shen'bao'chi
供养,gong'yang
供养彼佛,gong'yang'bi'fo
供养奉事,gong'yang'feng'shi
供养奉事诸佛,gong'yang'feng'shi'zhu'fo
供养四百亿佛,gong'yang'si'bai'yi'fo
供养之具,gong'yang'zhi'ju
供养诸佛,gong'yang'zhu'fo
供养诸佛者,gong'yang'zhu'fo'zhe
垢灭善生,gou'mie'shan'sheng
孤独,gu'du
故发斯问,gu'fa'si'wen
故非凡人,gu'fei'fan'ren
古今有是,gu'jin'you'shi
故能尔耳,gu'neng'er'er
故心狐疑,gu'xin'hu'yi
故有泥犁,gu'you'ni'li
故有穷乞,gu'you'qiong'qi
故有天人之名,gu'you'tian'ren'zhi'ming
故有自然三涂,gu'you'zi'ran'san'tu
故于往生清净佛国,gu'yu'wang'sheng'qing'jing'fo'guo
观彼殊胜刹,guan'bi'shu'sheng'sha
冠带,guan'dai
观法如化,guan'fa'ru'hua
观经行道,guan'jing'xing'dao
观无住菩萨,guan'wu'zhu'pu'sa
广博严净,guang'bo'yan'jing
光阐道教,guang'chan'dao'jiao
广大圆满之相,guang'da'yuan'man'zhi'xiang
广度诸有情,guang'du'zhu'you'qing
光晖遍照,guang'hui'bian'zhao
光精明俱出,guang'jing'ming'ju'chu
光丽,guang'li
光明遍照第十二,guang'ming'bian'zhao'di'shi'er
光明彻照,guang'ming'che'zhao
光明从口出,guang'ming'cong'kou'chu
光明佛刹,guang'ming'fo'sha
光明慧辩愿,guang'ming'hui'bian'yuan
光明普照,guang'ming'pu'zhao
光明无量,guang'ming'wu'liang
光明无量愿,guang'ming'wu'liang'yuan
光明无量照十方,guang'ming'wu'liang'zhao'shi'fang
光明相好,guang'ming'xiang'hao
光明照耀,guang'ming'zhao'yao
光瑞殊妙乃而,guang'rui'shu'miao'nai'er
光色晃曜,guang'se'huang'yao
光色亦然,guang'se'yi'ran
广施功德宝,guang'shi'gong'de'bao
广为他说,guang'wei'ta'shuo
广狭方圆,guang'xia'fang'yuan
光相,guang'xiang
光颜容色,guang'yan'rong'se
光颜巍巍,guang'yan'wei'wei
广演诸佛无量妙刹,guang'yan'zhu'fo'wu'liang'miao'sha
光英菩萨,guang'ying'pu'sa
光莹如镜,guang'ying'ru'jing
光中极尊,guang'zhong'ji'zun
轨范具足,gui'fan'ju'zu
归给妻子,gui'gei'qi'zi
归依供养,gui'yi'gong'yang
归依瞻礼,gui'yi'zhan'li
过度解脱,guo'du'jie'tuo
国丰民安,guo'feng'min'an
国界严净第十一,guo'jie'yan'jing'di'shi'yi
过去,guo'qu
过失尽已,guo'shi'jin'yi
过食时后,guo'shi'shi'hou
国土粗妙,guo'tu'cu'miao
国土所有一切万物,guo'tu'suo'you'yi'qie'wan'wu
国无不善愿,guo'wu'bu'shan'yuan
国无盗贼,guo'wu'dao'zei
国无恶道愿,guo'wu'e'dao'yuan
国无妇女,guo'wu'fu'nv
国无女人愿,guo'wu'nv'ren'yuan
国邑丘聚,guo'yi'qiu'ju
过浴此水,guo'yu'ci'shui
过于西方,guo'yu'xi'fang
国中声闻天人无数,guo'zhong'sheng'wen'tian'ren'wu'shu
国中万物,guo'zhong'wan'wu
国中无不善名,guo'zhong'wu'bu'shan'ming
国中无量色树,guo'zhong'wu'liang'se'shu
还复如初,hai'fu'ru'chu
还复周遍,hai'fu'zhou'bian
还其本国,hai'qi'ben'guo
含哀慈愍,han'ai'ci'min
寒暑,han'shu
豪富,hao'fu
豪姓尊贵,hao'xing'zun'gui
号曰法藏,hao'yue'fa'zang
何不力为善,he'bu'li'wei'shan
何不于强健时,he'bu'yu'qiang'jian'shi
何等为五,he'deng'wei'wu
何故威神显耀,he'gu'wei'shen'xian'yao
何况实苦,he'kuang'shi'ku
何免轮回,he'mian'lun'hui
何时度脱,he'shi'du'tuo
和顺义理,he'shun'yi'li
合为一华,he'wei'yi'hua
何为著世事,he'wei'zhu'shi'shi
和颜爱语,he'yan'ai'yu
何以故,he'yi'gu
赫奕欢喜,he'yi'huan'xi
何因缘故,he'yin'yuan'gu
何愿不得,he'yuan'bu'de
合掌而住,he'zhang'er'zhu
恒发弘誓心,heng'fa'hong'shi'xin
恒放光明照一切,heng'fang'guang'ming'zhao'yi'qie
横截于五趣,heng'jie'yu'wu'qu
横揽成万物,heng'lan'cheng'wan'wu
恒沙菩萨众,heng'sha'pu'sa'zhong
横行威势,heng'xing'wei'shi
恒以布施,heng'yi'bu'shi
后当作佛,hou'dang'zuo'fo
厚己争利,hou'ji'zheng'li
后生无量寿国,hou'sheng'wu'liang'shou'guo
后世转剧,hou'shi'zhuan'ju
后受殃罚,hou'shou'yang'fa
护佛种性常使不绝,hu'fo'zhong'xing'chang'shi'bu'jue
忽见,hu'jian
琥珀树,hu'po'shu
琥珀为叶,hu'po'wei'ye
互庆生欢喜,hu'qing'sheng'huan'xi
互为根干枝叶华果,hu'wei'gen'gan'zhi'ye'hua'guo
互相映饰,hu'xiang'ying'shi
化成华盖,hua'cheng'hua'gai
华果敷荣,hua'guo'fu'rong
华果恒芳,hua'guo'heng'fang
华果树木,hua'guo'shu'mu
华皆向下,hua'jie'xiang'xia
华实相当,hua'shi'xiang'dang
化现其身,hua'xian'qi'shen
华香幢幡,hua'xiang'zhuang'fan
华叶果实,hua'ye'guo'shi
化众生不,hua'zhong'sheng'bu
华幢佛刹,hua'zhuang'fo'sha
坏诸欲堑,huai'zhu'yu'qian
擐大甲胄,huan'da'jia'zhou
还到安养国,huan'dao'an'yang'guo
患而苦之,huan'er'ku'zhi
欢乐慈孝,huan'le'ci'xiao
缓流者,huan'liu'zhe
欢喜光,huan'xi'guang
欢喜开解,huan'xi'kai'jie
欢喜快乐,huan'xi'kuai'le
欢喜信乐,huan'xi'xin'le
黄金为地,huang'jin'wei'di
黄金为根,huang'jin'wei'gen
滉漾浩汗,huang'yang'hao'han
慧辩才菩萨,hui'bian'cai'pu'sa
会当得之,hui'dang'de'zhi
会当克果,hui'dang'ke'guo
悔复何及,hui'fu'he'ji
回光还绕佛,hui'guang'hai'rao'fo
悔过得生愿,hui'guo'de'sheng'yuan
会集各译,hui'ji'ge'yi
会见无期,hui'jian'wu'qi
悔惧交至,hui'ju'jiao'zhi
惠利群生,hui'li'qun'sheng
慧眼见真,hui'yan'jian'zhen
惠以真实之利,hui'yi'zhen'shi'zhi'li
悔之于后,hui'zhi'yu'hou
魂神命精,hun'shen'ming'jing
或百千万亿由旬,huo'bai'qian'wan'yi'you'xun
或半由旬,huo'ban'you'xun
或长或短,huo'chang'huo'duan
或纯金树,huo'chun'jin'shu
获大欢喜,huo'da'huan'xi
或大或小,huo'da'huo'xiao
或当生,huo'dang'sheng
惑道者众,huo'dao'zhe'zhong
获得光明身,huo'de'guang'ming'shen
获得无边辩才,huo'de'wu'bian'bian'cai
或得阿那含,huo'dei'a'na'han
或得斯陀含,huo'dei'si'tuo'han
或得须陀洹,huo'dei'xu'tuo'huan
或父哭子,huo'fu'ku'zi
祸福相承,huo'fu'xiang'cheng
火光,huo'guang
惑尽过亡三昧力,huo'jin'guo'wang'san'mei'li
惑尽见佛第四十一,huo'jin'jian'fo'di'si'shi'yi
或乐说法,huo'le'shuo'fa
或乐听法,huo'le'ting'fa
或泪出者,huo'lei'chu'zhe
获其福德,huo'qi'fu'de
或其今世,huo'qi'jin'shi
或入苦毒,huo'ru'ku'du
获三种忍,huo'san'zhong'ren
或时心诤,huo'shi'xin'zheng
或十由旬,huo'shi'you'xun
或数百千亿,huo'shu'bai'qian'yi
或数十百亿,huo'shu'shi'bai'yi
获陀罗尼,huo'tuo'luo'ni
获陀罗尼愿,huo'tuo'luo'ni'yuan
或为六欲天主,huo'wei'liu'yu'tian'zhu
或为刹利国王,huo'wei'sha'li'guo'wang
或为长者,huo'wei'zhang'zhe
或闻佛法僧声,huo'wen'fo'fa'seng'sheng
或闻无性无作无我声,huo'wen'wu'xing'wu'zuo'wu'wo'sheng
或现神足,huo'xian'shen'zu
或现生,huo'xian'sheng
或一二三四,huo'yi'er'san'si
或一二三四由旬,huo'yi'er'san'si'you'xun
或已生,huo'yi'sheng
或有宝树,huo'you'bao'shu
或有二宝三宝,huo'you'er'bao'san'bao
或欲灌身,huo'yu'guan'shen
或欲冷者,huo'yu'leng'zhe
或于寿终,huo'yu'shou'zhong
或在乐处,huo'zai'le'chu
或在平地,huo'zai'ping'di
或在虚空,huo'zai'xu'kong
或照百千佛刹,huo'zhao'bai'qian'fo'sha
或照一二佛刹,huo'zhao'yi'er'fo'sha
或子哭父,huo'zi'ku'fu
及彼国土,ji'bi'guo'tu
及比丘众,ji'bi'qiu'zhong
及波罗蜜等菩萨之法,ji'bo'luo'mi'deng'pu'sa'zhi'fa
及不定聚,ji'bu'ding'ju
及曾供养如来,ji'ceng'gong'yang'ru'lai
及慈氏菩萨,ji'ci'shi'pu'sa
即从座起,ji'cong'zuo'qi
及忉利天依何而住,ji'dao'li'tian'yi'he'er'zhu
即得往生彼佛国土,ji'de'wang'sheng'bi'fo'guo'tu
即得往诣无量寿所,ji'de'wang'yi'wu'liang'shou'suo
及得一切陀罗尼门,ji'dei'yi'qie'tuo'luo'ni'men
寂定明察,ji'ding'ming'cha
嫉妒,ji'du
击法鼓,ji'fa'gu
及佛神力,ji'fo'shen'li
寂根菩萨,ji'gen'pu'sa
积功累德,ji'gong'lei'de
积功累德第八,ji'gong'lei'de'di'ba
积集善根,ji'ji'shan'gen
及见彼等念佛相续不,ji'jian'bi'deng'nian'fo'xiang'xu'bu
极乐世界,ji'le'shi'jie
极乐世界阿弥陀佛,ji'le'shi'jie'e'mi'tuo'fo
极乐世界无量寿佛,ji'le'shi'jie'wu'liang'shou'fo
极乐世界种种庄严,ji'le'shi'jie'zhong'zhong'zhuang'yan
积累善本,ji'lei'shan'ben
急流者,ji'liu'zhe
即能摄取百千亿劫,ji'neng'she'qu'bai'qian'yi'jie
及念慧力,ji'nian'hui'li
及菩萨众,ji'pu'sa'zhong
及其国土一切所有,ji'qi'guo'tu'yi'qie'suo'you
极清净故,ji'qing'jing'gu
即摄受已,ji'she'shou'yi
极身作乐,ji'shen'zuo'yue
即生我国,ji'sheng'wo'guo
即生我刹,ji'sheng'wo'sha
即生信解,ji'sheng'xin'jie
即时香风吹七宝树,ji'shi'xiang'feng'chui'qi'bao'shu
即随彼佛往生其国,ji'sui'bi'fo'wang'sheng'qi'guo
即随化佛往生其国,ji'sui'hua'fo'wang'sheng'qi'guo
机伪多端,ji'wei'duo'duan
即为法藏而说经言,ji'wei'fa'zang'er'shuo'jing'yan
及未来生,ji'wei'lai'sheng
即为宣说,ji'wei'xuan'shuo
既无标式名号,ji'wu'biao'shi'ming'hao
及贤劫中一切菩萨,ji'xian'jie'zhong'yi'qie'pu'sa
吉祥果树,ji'xiang'guo'shu
吉凶祸福,ji'xiong'huo'fu
即以伽他赞佛,ji'yi'jia'ta'zan'fo
及异形类,ji'yi'xing'lei
及欲见彼广大庄严,ji'yu'jian'bi'guang'da'zhuang'yan
即于空中,ji'yu'kong'zhong
即于掌中放无量光,ji'yu'zhang'zhong'fang'wu'liang'guang
计在神明,ji'zai'shen'ming
即证不退位,ji'zheng'bu'tui'wei
积植德行,ji'zhi'de'xing
及众宝树,ji'zhong'bao'shu
及诸佛刹,ji'zhu'fo'sha
及诸菩萨,ji'zhu'pu'sa
及诸菩萨声闻之众,ji'zhu'pu'sa'sheng'wen'zhi'zhong
及诸天人大众之中,ji'zhu'tian'ren'da'zhong'zhi'zhong
即自悔过,ji'zi'hui'guo
即自思惟,ji'zi'si'wei
及总宣说者,ji'zong'xuan'shuo'zhe
既作佛已,ji'zuo'fo'yi
跏趺而坐,jia'fu'er'zuo
假令,jia'ling
假令帝释,jia'ling'di'shi
假令供养恒沙圣,jia'ling'gong'yang'heng'sha'sheng
假使,jia'shi
假使不能作诸功德,jia'shi'bu'neng'zuo'zhu'gong'de
假使大火满三千,jia'shi'da'huo'man'san'qian
假使父母,jia'shi'fu'mu
假使十方众生,jia'shi'shi'fang'zhong'sheng
迦叶佛时,jia'ye'fo'shi
见此光明皆得休息,jian'ci'guang'ming'jie'de'xiu'xi
见阿弥陀佛,jian'e'mi'tuo'fo
见阿弥陀佛者,jian'e'mi'tuo'fo'zhe
建法幢,jian'fa'zhuang
坚固,jian'gu
坚固不动,jian'gu'bu'dong
坚固不退,jian'gu'bu'tui
坚固深信,jian'gu'shen'xin
坚固之力,jian'gu'zhi'li
建立常然,jian'li'chang'ran
检敛端直,jian'lian'duan'zhi
坚守不犯,jian'shou'bu'fan
见我光明,jian'wo'guang'ming
江河,jiang'he
将何及乎,jiang'he'ji'hu
降化其意,jiang'hua'qi'yi
降王宫,jiang'wang'gong
交覆于池,jiao'fu'yu'chi
教化安立众生,jiao'hua'an'li'zhong'sheng
教化群生,jiao'hua'qun'sheng
教化随意愿,jiao'hua'sui'yi'yuan
教化一切有情,jiao'hua'yi'qie'you'qing
觉了法性,jiao'le'fa'xing
觉了一切法,jiao'le'yi'qie'fa
教授名字,jiao'shou'ming'zi
教语开示,jiao'yu'kai'shi
皆不退转,jie'bu'tui'zhuan
皆从恶道中来,jie'cong'e'dao'zhong'lai
皆大欢喜,jie'da'huan'xi
皆当别离,jie'dang'bie'li
皆当究竟一生补处,jie'dang'jiu'jing'yi'sheng'bu'chu
皆当往生,jie'dang'wang'sheng
皆当往生彼如来土,jie'dang'wang'sheng'bi'ru'lai'tu
皆当自端,jie'dang'zi'duan
皆当作佛,jie'dang'zuo'fo
皆得,jie'de
皆得阿惟越致,jie'de'a'wei'yue'zhi
结得大愿,jie'de'da'yuan
皆得金刚那罗延身,jie'de'jin'gang'na'luo'yan'shen
皆得六根清彻,jie'de'liu'gen'qing'che
皆得如是诸妙色身,jie'de'ru'shi'zhu'miao'se'shen
皆得他心智通,jie'de'ta'xin'zhi'tong
皆度彼岸,jie'du'bi'an
截断狐疑,jie'duan'hu'yi
皆发,jie'fa
解法如如,jie'fa'ru'ru
皆发信心,jie'fa'xin'xin
结忿成仇,jie'fen'cheng'chou
皆各一等,jie'ge'yi'deng
皆共称赞,jie'gong'cheng'zan
皆获善利,jie'huo'shan'li
皆赍百千华香,jie'ji'bai'qian'hua'xiang
皆积德众善,jie'ji'de'zhong'shan
结跏趺坐,jie'jia'fu'zuo
皆见,jie'jian
皆具,jie'ju
皆具金色三十二相,jie'ju'jin'se'san'shi'er'xiang
皆可得度,jie'ke'de'du
皆可求之,jie'ke'qiu'zhi
皆来集会,jie'lai'ji'hui
皆蒙慈恩,jie'meng'ci'en
皆能洞视,jie'neng'dong'shi
皆能示现,jie'neng'shi'xian
结其善愿为本,jie'qi'shan'yuan'wei'ben
竭其智力,jie'qi'zhi'li
皆如阿弥陀佛,jie'ru'e'mi'tuo'fo
戒若琉璃,jie'ruo'liu'li
皆是阿弥陀佛宿愿因缘,jie'shi'e'mi'tuo'fo'su'yuan'yin'yuan
皆是化作,jie'shi'hua'zuo
皆使往生其国,jie'shi'wang'sheng'qi'guo
皆同一色,jie'tong'yi'se
皆同一心,jie'tong'yi'xin
解脱光,jie'tuo'guang
解脱菩萨,jie'tuo'pu'sa
解脱忧苦,jie'tuo'you'ku
阶位,jie'wei
皆闻十方,jie'wen'shi'fang
皆无摄取,jie'wu'she'qu
皆悉逮得清净解脱,jie'xi'dai'de'qing'jing'jie'tuo
皆悉睹见,jie'xi'du'jian
皆悉求此微妙法门,jie'xi'qiu'ci'wei'miao'fa'men
皆悉住于正定之聚,jie'xi'zhu'yu'zheng'ding'zhi'ju
皆现手中,jie'xian'shou'zhong
皆修佛行,jie'xiu'fo'xing
皆以无量宝香合成,jie'yi'wu'liang'bao'xiang'he'cheng
皆因前世不信道德,jie'yin'qian'shi'bu'xin'dao'de
皆因汝问而得度脱故,jie'yin'ru'wen'er'de'du'tuo'gu
皆由前世曾作佛道,jie'you'qian'shi'ceng'zuo'fo'dao
皆由宿世慈孝,jie'you'su'shi'ci'xiao
皆由贪著财色,jie'you'tan'zhu'cai'se
皆于七宝池莲华中,jie'yu'qi'bao'chi'lian'hua'zhong
皆于七宝池莲华中化生,jie'yu'qi'bao'chi'lian'hua'zhong'hua'sheng
皆于七宝华中,jie'yu'qi'bao'hua'zhong
皆豫知之,jie'yu'zhi'zhi
皆愿作佛第十,jie'yuan'zuo'fo'di'shi
解诸缠缚,jie'zhu'chan'fu
矜哀三界,jin'ai'san'jie
禁闭其中,jin'bi'qi'zhong
尽持经戒,jin'chi'jing'jie
今此娑婆世界,jin'ci'suo'po'shi'jie
尽此一报身,jin'ci'yi'bao'shen
今得值佛,jin'de'zhi'fo
金刚,jin'gang
今供养我,jin'gong'yang'wo
尽极严丽,jin'ji'yan'li
尽其神力莫能测,jin'qi'shen'li'mo'neng'ce
尽其寿命,jin'qi'shou'ming
今日世尊色身诸根,jin'ri'shi'zun'se'shen'zhu'gen
今始初发,jin'shi'chu'fa
今世为恶,jin'shi'wei'e
今现在说法,jin'xian'zai'shuo'fa
尽心求索,jin'xin'qiu'suo
今正是时,jin'zheng'shi'shi
金珠铃铎,jin'zhu'ling'duo
经道渐灭,jing'dao'jian'mie
经道灭尽,jing'dao'mie'jin
净定安乐,jing'ding'an'le
敬分章次,jing'fen'zhang'ci
竞各作之,jing'ge'zuo'zhi
净慧修梵行,jing'hui'xiu'fan'xing
荆棘沙砾,jing'ji'sha'li
精进,jing'jin
精进不止,jing'jin'bu'zhi
精进定慧六波罗,jing'jin'ding'hui'liu'bo'luo
茎茎相望,jing'jing'xiang'wang
经历劫数尚可穷底,jing'li'jie'shu'shang'ke'qiong'di
经千亿岁,jing'qian'yi'sui
精勤求索,jing'qin'qiu'suo
净若无形,jing'ruo'wu'xing
经行,jing'xing
经须臾间,jing'xu'yu'jian
敬于佛者,jing'yu'fo'zhe
九不嗔,jiu'bu'chen
究畅无极,jiu'chang'wu'ji
究达神通慧,jiu'da'shen'tong'hui
久后转剧,jiu'hou'zhuan'ju
究竟彼岸,jiu'jing'bi'an
究竟必至一生补处,jiu'jing'bi'zhi'yi'sheng'bu'chu
究竟明了,jiu'jing'ming'liao
究竟菩萨道,jiu'jing'pu'sa'dao
究竟菩萨诸波罗蜜,jiu'jing'pu'sa'zhu'bo'luo'mi
究竟一乘,jiu'jing'yi'cheng
究竟愿故,jiu'jing'yuan'gu
久久亦当开解欢喜,jiu'jiu'yi'dang'kai'jie'huan'xi
救世之行方能修,jiu'shi'zhi'xing'fang'neng'xiu
具八功德,ju'ba'gong'de
具大精进,ju'da'jing'jin
俱到佛前作礼,ju'dao'fo'qian'zuo'li
俱得往生极乐世界,ju'de'wang'sheng'ji'le'shi'jie
剧苦极刑,ju'ku'ji'xing
俱来我刹中,ju'lai'wo'sha'zhong
俱令登彼岸,ju'ling'deng'bi'an
聚落,ju'luo
拘牟头华,ju'mou'tou'hua
具如真佛,ju'ru'zhen'fo
居上不明,ju'shang'bu'ming
居士,ju'shi
具诸功德本,ju'zhu'gong'de'ben
具足,ju'zu
具足成就,ju'zu'cheng'jiu
具足德本,ju'zu'de'ben
具足微妙,ju'zu'wei'miao
具足无量行愿,ju'zu'wu'liang'xing'yuan
具足庄严,ju'zu'zhuang'yan
具足总持百千三昧,ju'zu'zong'chi'bai'qian'san'mei
眷属,juan'shu
眷属财物,juan'shu'cai'wu
捐志若虚空,juan'zhi'ruo'xu'kong
决定必成无上正觉,jue'ding'bi'cheng'wu'shang'zheng'jue
决定往生极乐国,jue'ding'wang'sheng'ji'le'guo
决定证于,jue'ding'zheng'yu
决断疑网,jue'duan'yi'wang
绝胜诸佛,jue'sheng'zhu'fo
觉未觉故,jue'wei'jue'gu
绝欲去忧,jue'yu'qu'you
决证极果第二十二,jue'zheng'ji'guo'di'er'shi'er
开彼智慧眼,kai'bi'zhi'hui'yan
开导群生,kai'dao'qun'sheng
开化显示真实之际,kai'hua'xian'shi'zhen'shi'zhi'ji
开经偈,kai'jing'ji
开廓广大,kai'kuo'guang'da
开善门,kai'shan'men
开神悦体,kai'shen'yue'ti
开示正道,kai'shi'zheng'dao
堪受供养,kan'shou'gong'yang
可得长寿泥洹之道,ke'de'chang'shou'ni'huan'zhi'dao
可得极长生,ke'de'ji'chang'sheng
箜篌乐器,kong'hou'yue'qi
口所欲言,kou'suo'yu'yan
苦口与语,ku'kou'yu'yu
苦乐自当,ku'le'zi'dang
苦心诲喻,ku'xin'hui'yu
苦行学道,ku'xing'xue'dao
快乐无极,kuai'le'wu'ji
宽广平正,kuan'guang'ping'zheng
旷若虚空,kuang'ruo'xu'kong
旷无他念,kuang'wu'ta'nian
亏负经戒,kui'fu'jing'jie
赖其前世,lai'qi'qian'shi
来生我国,lai'sheng'wo'guo
来生我刹,lai'sheng'wo'sha
来我刹土,lai'wo'sha'tu
来无所来,lai'wu'suo'lai
来于虚空,lai'yu'xu'kong
栏窗榻座,lan'chuang'ta'zuo
老亦苦痛,lao'yi'ku'tong
乐如漏尽愿,le'ru'lou'jin'yuan
乐在正论,le'zai'zheng'lun
累德所致,lei'de'suo'zhi
累劫难出,lei'jie'nan'chu
累念积虑,lei'nian'ji'lv
礼拜归命,li'bai'gui'ming
离尘佛刹,li'chen'fo'sha
礼佛现光第三十八,li'fo'xian'guang'di'san'shi'ba
礼供听法第二十六,li'gong'ting'fa'di'er'shi'liu
利害胜负,li'hai'sheng'fu
利乐有情,li'le'you'qing
立名无量寿,li'ming'wu'liang'shou
离染污故,li'ran'wu'gu
离五烧,li'wu'shao
礼义都合,li'yi'dou'he
利益诸群品,li'yi'zhu'qun'pin
离欲深正念,li'yu'shen'zheng'nian
莲华化生愿,lian'hua'hua'sheng'yuan
两舌,liang'she
了无所闻,liao'wu'suo'wen
裂魔见网,lie'mo'jian'wang
临时乃悔,lin'shi'nai'hui
临寿终时,lin'shou'zhong'shi
林树,lin'shu
临终接引愿,lin'zhong'jie'yin'yuan
令彼诸群生,ling'bi'zhu'qun'sheng
令持五善,ling'chi'wu'shan
令得安乐,ling'de'an'le
令获五德,ling'huo'wu'de
令见无量寿佛,ling'jian'wu'liang'shou'fo
令舍五恶,ling'she'wu'e
令生我刹,ling'sheng'wo'sha
令我等作佛时,ling'wo'deng'zuo'fo'shi
令悉作佛,ling'xi'zuo'fo
令众欢喜,ling'zhong'huan'xi
令众悦服,ling'zhong'yue'fu
六不恶口,liu'bu'e'kou
流布万种温雅德香,liu'bu'wan'zhong'wen'ya'de'xiang
六度之行,liu'du'zhi'xing
琉璃树,liu'li'shu
琉璃为枝,liu'li'wei'zhi
六千八百比丘,liu'qian'ba'bai'bi'qiu
六亲眷属,liu'qin'juan'shu
六种震动,liu'zhong'zhen'dong
